id,ALLSKY_SFC_SW_DWN,T2M,QV2M,PRECTOTCORR,WS10M
BS004276,2.783333333333333,3.5,4.086666666666667,1.7033333333333334,2.716666666666667
OM739053,4.7,14.803333333333335,6.713333333333334,1.623333333333333,2.5533333333333332
ON300460,3.72,6.5566666666666675,5.046666666666667,0.03666666666666667,3.236666666666667
OW470304,2.6733333333333333,7.816666666666666,5.920000000000001,1.3433333333333335,9.333333333333334
MW035925,4.13,13.266666666666667,8.073333333333332,9.53,4.466666666666666
OD999779,0.7633333333333333,-4.01,2.85,0.27,2.31
OA967683,4.5633333333333335,17.46,11.086666666666664,0.6966666666666667,3.5966666666666662
OL622102,4.8966666666666665,10.086666666666666,10.11,1.1666666666666667,3.25
OU282540,6.183333333333334,8.833333333333334,5.4300000000000015,0.07666666666666666,4.98
OK510491,5.53,25.15,11.756666666666666,0.4866666666666666,4.546666666666667
OU077014,4.823333333333333,15.29,5.246666666666666,0.016666666666666666,4.666666666666666
OM052492,5.743333333333332,27.04666666666667,15.276666666666666,3.823333333333333,2.0033333333333334
OU471040,1.46,4.19,4.516666666666667,0.12,3.043333333333333
OU370897,1.91,9.68,6.5100000000000025,3.77,3.123333333333333
ON129429,6.8933333333333335,27.066666666666666,15.156666666666665,0.7166666666666667,1.36
OL989074,4.6466666666666665,26.12,18.106666666666676,0.4733333333333334,5.66
OU009929,1.79,8.65,6.366666666666667,8.81,2.39
OU007060,1.79,4.826666666666667,5.53,12.04,2.1966666666666668
MW365278,7.123333333333332,15.573333333333332,3.1733333333333333,0.5833333333333334,2.8633333333333333
ON134852,6.8400000000000025,16.973333333333333,5.576666666666667,0.4966666666666666,4.666666666666667
OL522465,4.963333333333334,19.343333333333334,9.763333333333334,0.37333333333333335,3.523333333333333
MW365092,8.616666666666667,19.983333333333334,3.826666666666666,0.0,3.143333333333333
MW828621,4.476666666666667,16.216666666666665,5.613333333333334,0.043333333333333335,7.133333333333333
OA976647,4.61,9.786666666666667,6.146666666666667,2.723333333333333,6.28
LR883305,4.66,3.2466666666666666,2.9933333333333336,0.01,6.8500000000000005
OK546730,5.05,17.213333333333335,9.52,0.15333333333333332,3.8433333333333337
MW298637,2.126666666666667,16.79,10.56,9.103333333333332,6.296666666666668
ON442016,1.0933333333333335,8.09,6.63,4.593333333333334,7.323333333333332
MT520277,2.7633333333333336,-0.2366666666666667,3.3966666666666665,10.503333333333332,2.5766666666666667
MZ380247,7.63,20.563333333333333,3.8466666666666662,0.0,3.6233333333333335
MW633892,4.57,17.89,7.039999999999999,0.0,3.896666666666667
MW320869,3.3233333333333333,13.693333333333333,4.8,2.123333333333333,4.373333333333334
MW341474,7.296666666666668,32.63333333333333,17.783333333333335,0.0,7.053333333333334
MW320730,6.153333333333332,31.70000000000001,9.296666666666667,0.4066666666666667,5.0633333333333335
ON148327,4.696666666666666,20.046666666666667,10.313333333333334,0.016666666666666666,4.156666666666666
ON148325,5.789999999999999,22.97333333333333,14.590000000000002,1.1833333333333331,1.9566666666666663
MZ191508,5.326666666666667,26.74,11.823333333333332,0.06666666666666668,3.0066666666666664
